order_id,customer_id,order_date,order_status,amount
ORD00001040,CUST001172,2024-11-25,COMPLETED,813.5
ORD00001041,CUST000704,2024-11-25,PROCESSING,369.43
ORD00001042,CUST001114,2024-11-24,PROCESSING,650.35
ORD00001043,CUST000091,2024-11-25,COMPLETED,290.21
ORD00001044,CUST001071,2024-11-25,PROCESSING,274.23
ORD00001045,CUST001072,2024-11-25,COMPLETED,253.71
ORD00001046,CUST000256,2024-11-26,NEW,819.5
ORD00001047,CUST000557,2024-11-25,PROCESSING,974.91
ORD00001048,CUST000288,2024-11-24,PROCESSING,578.08
ORD00001049,CUST000001,2024-11-24,COMPLETED,176.51
ORD00001050,CUST000081,2024-11-24,PROCESSING,505.78
ORD00001051,CUST000110,2024-11-26,PROCESSING,615.68
ORD00001052,CUST000926,2024-11-25,COMPLETED,583.81
ORD00001053,CUST000762,2024-11-25,NEW,818.17
ORD00001054,CUST000503,2024-11-25,CANCELLED,504.77
ORD00001055,CUST001068,2024-11-24,PROCESSING,55.95
ORD00001056,CUST001050,2024-11-26,PROCESSING,973.89
ORD00001057,CUST000223,2024-11-25,COMPLETED,200.68
ORD00001058,CUST000774,2024-11-24,COMPLETED,57.06
ORD00001059,CUST000238,2024-11-24,PROCESSING,942.92
ORD00001060,CUST000894,2024-11-25,COMPLETED,565.79
ORD00001061,CUST000039,2024-11-26,COMPLETED,131.99
ORD00001062,CUST000812,2024-11-24,PROCESSING,941.09
ORD00001063,CUST000108,2024-11-25,NEW,992.81
ORD00001064,CUST001037,2024-11-26,NEW,790.1
ORD00001065,CUST000313,2024-11-25,PROCESSING,428.16
ORD00001066,CUST001175,2024-11-25,NEW,142.98
ORD00001067,CUST001028,2024-11-26,NEW,983.19
ORD00001068,CUST000702,2024-11-25,NEW,121.3
ORD00001069,CUST000701,2024-11-26,NEW,216.48
ORD00001070,CUST000672,2024-11-26,COMPLETED,473.09
ORD00001071,CUST000899,2024-11-24,NEW,438.97
ORD00001072,CUST001108,2024-11-24,PROCESSING,794.04
ORD00001073,CUST000995,2024-11-23,COMPLETED,973.7
ORD00001074,CUST001022,2024-11-26,NEW,197.91
ORD00001075,CUST000202,2024-11-26,NEW,605.24
ORD00001076,CUST000702,2024-11-25,PROCESSING,475.67
ORD00001077,CUST000197,2024-11-26,PROCESSING,589.5
ORD00001078,CUST000813,2024-11-23,NEW,296.12
ORD00001079,CUST000862,2024-11-25,PROCESSING,185.91
ORD00001080,CUST000141,2024-11-25,PROCESSING,462.58
ORD00001081,CUST000160,2024-11-24,PROCESSING,424.61
ORD00001082,CUST000701,2024-11-26,NEW,839.03
ORD00001083,CUST000375,2024-11-24,COMPLETED,933.41
ORD00001084,CUST000637,2024-11-25,CANCELLED,294.38
ORD00001085,CUST000024,2024-11-24,CANCELLED,356.75
ORD00001086,CUST001127,2024-11-26,COMPLETED,284.79
ORD00001087,CUST000956,2024-11-26,PROCESSING,346.52
ORD00001088,CUST000107,2024-11-25,COMPLETED,521.75
ORD00001089,CUST000451,2024-11-25,PROCESSING,640.36
ORD00001090,CUST001052,2024-11-26,PROCESSING,163.9
ORD00001091,CUST000083,2024-11-25,COMPLETED,88.38
ORD00001092,CUST000934,2024-11-24,CANCELLED,274.69
ORD00001093,CUST001029,2024-11-24,CANCELLED,572.4
ORD00001094,CUST000706,2024-11-25,PROCESSING,425.88
ORD00001095,CUST001102,2024-11-25,NEW,444.47
ORD00001096,CUST001021,2024-11-24,CANCELLED,46.68
ORD00001097,CUST000685,2024-11-25,NEW,882.3
ORD00001098,CUST000880,2024-11-24,COMPLETED,380.67
ORD00001099,CUST000300,2024-11-25,CANCELLED,366.14
ORD00001100,CUST000997,2024-11-24,COMPLETED,824.43
ORD00001101,CUST001161,2024-11-26,NEW,391.02
ORD00001102,CUST000971,2024-11-24,PROCESSING,932.05
ORD00001103,CUST001026,2024-11-25,PROCESSING,44.1
ORD00001104,CUST000144,2024-11-24,COMPLETED,682.94
ORD00001105,CUST001018,2024-11-24,NEW,53.31
ORD00001106,CUST001052,2024-11-26,NEW,795.96
ORD00001107,CUST000937,2024-11-25,NEW,445.78
ORD00001108,CUST000991,2024-11-23,NEW,333.72
ORD00001109,CUST000424,2024-11-25,PROCESSING,437.08
ORD00001110,CUST001184,2024-11-24,NEW,637.27
ORD00001111,CUST000444,2024-11-25,COMPLETED,401.35
ORD00001112,CUST001174,2024-11-24,NEW,607.78
ORD00001113,CUST000893,2024-11-25,NEW,417.9
ORD00001114,CUST000356,2024-11-24,PROCESSING,930.57
ORD00001115,CUST000561,2024-11-24,NEW,344.88
ORD00001116,CUST001067,2024-11-24,COMPLETED,103.58
ORD00001117,CUST000225,2024-11-25,COMPLETED,784.68
ORD00001118,CUST000527,2024-11-26,NEW,244.07
ORD00001119,CUST000252,2024-11-24,NEW,108.95
ORD00001120,CUST000660,2024-11-26,PROCESSING,143.87
ORD00001121,CUST000265,2024-11-24,COMPLETED,230.79
ORD00001122,CUST000978,2024-11-25,NEW,806.7
ORD00001123,CUST000301,2024-11-25,CANCELLED,736.81
ORD00001124,CUST001025,2024-11-26,NEW,535.34
ORD00001125,CUST000134,2024-11-26,NEW,334.48
ORD00001126,CUST000039,2024-11-24,NEW,319.89
ORD00001127,CUST000222,2024-11-25,NEW,283.32
ORD00001128,CUST000081,2024-11-24,COMPLETED,383.9
ORD00001129,CUST001163,2024-11-24,CANCELLED,93.84
ORD00001130,CUST000855,2024-11-24,CANCELLED,657.34
ORD00001131,CUST000043,2024-11-23,COMPLETED,885.29
ORD00001132,CUST001007,2024-11-25,NEW,491.99
ORD00001133,CUST000897,2024-11-24,PROCESSING,191.27
ORD00001134,CUST000892,2024-11-24,NEW,610.99
ORD00001135,CUST001132,2024-11-26,NEW,847.86
ORD00001136,CUST001172,2024-11-24,CANCELLED,597.4
ORD00001137,CUST000246,2024-11-24,PROCESSING,808.09
ORD00001138,CUST000558,2024-11-25,NEW,450.08
ORD00001139,CUST001024,2024-11-25,NEW,739.83
ORD00001140,CUST000534,2024-11-26,NEW,242.64
ORD00001141,CUST000274,2024-11-25,NEW,973.42
ORD00001142,CUST001066,2024-11-25,PROCESSING,85.75
ORD00001143,CUST000050,2024-11-24,COMPLETED,884.24
ORD00001144,CUST001179,2024-11-24,NEW,803.05
ORD00001145,CUST000230,2024-11-25,PROCESSING,596.63
ORD00001146,CUST001131,2024-11-24,NEW,802.31
ORD00001147,CUST000944,2024-11-25,PROCESSING,280.19
ORD00001148,CUST000876,2024-11-25,NEW,234.67
ORD00001149,CUST000337,2024-11-23,PROCESSING,570.64
ORD00001150,CUST000071,2024-11-26,NEW,183.41
ORD00001151,CUST001111,2024-11-25,PROCESSING,782.99
ORD00001152,CUST000168,2024-11-24,NEW,425.84
ORD00001153,CUST000364,2024-11-26,COMPLETED,256.02
ORD00001154,CUST000274,2024-11-25,COMPLETED,693.84
ORD00001155,CUST000912,2024-11-26,PROCESSING,827.02
ORD00001156,CUST000687,2024-11-26,NEW,150.11
ORD00001157,CUST000727,2024-11-24,PROCESSING,50.36
ORD00001158,CUST001010,2024-11-25,NEW,410.99
ORD00001159,CUST001163,2024-11-24,COMPLETED,846.87
ORD00001160,CUST000209,2024-11-25,NEW,960.98
ORD00001161,CUST000641,2024-11-24,NEW,690.42
ORD00001162,CUST000880,2024-11-24,CANCELLED,117.71
ORD00001163,CUST000665,2024-11-25,NEW,782.61
ORD00001164,CUST000088,2024-11-25,NEW,563.47
ORD00001165,CUST000640,2024-11-24,COMPLETED,293.29
ORD00001166,CUST001148,2024-11-24,NEW,565.37
ORD00001167,CUST000185,2024-11-24,CANCELLED,333.87
ORD00001168,CUST001188,2024-11-25,NEW,302.79
ORD00001169,CUST000949,2024-11-24,NEW,685.99
ORD00001170,CUST000145,2024-11-25,PROCESSING,312.77
ORD00001171,CUST000159,2024-11-24,NEW,750.87
ORD00001172,CUST000913,2024-11-26,NEW,11.14
ORD00001173,CUST000478,2024-11-25,CANCELLED,82.82
ORD00001174,CUST000384,2024-11-24,NEW,284.58
ORD00001175,CUST000385,2024-11-25,COMPLETED,183.67
ORD00001176,CUST000578,2024-11-23,COMPLETED,914.84
ORD00001177,CUST001057,2024-11-25,NEW,494.29
ORD00001178,CUST000467,2024-11-25,PROCESSING,479.96
ORD00001179,CUST000830,2024-11-24,PROCESSING,159.62
ORD00001180,CUST000106,2024-11-26,COMPLETED,680.7
ORD00001181,CUST000255,2024-11-23,COMPLETED,287.41
ORD00001182,CUST001017,2024-11-26,CANCELLED,808.96
ORD00001183,CUST000780,2024-11-25,NEW,991.17
ORD00001184,CUST001080,2024-11-24,NEW,202.82
ORD00001185,CUST000678,2024-11-25,PROCESSING,810.41
ORD00001186,CUST000289,2024-11-26,COMPLETED,796.62
ORD00001187,CUST000408,2024-11-24,PROCESSING,257.15
ORD00001188,CUST000958,2024-11-25,COMPLETED,454.66
ORD00001189,CUST000905,2024-11-25,NEW,695.75
ORD00001190,CUST000379,2024-11-24,NEW,860.53
ORD00001191,CUST001010,2024-11-26,PROCESSING,971.9
ORD00001192,CUST001102,2024-11-24,NEW,699.1
ORD00001193,CUST001045,2024-11-24,CANCELLED,438.11
ORD00001194,CUST000744,2024-11-25,NEW,319.12
ORD00001195,CUST000495,2024-11-24,COMPLETED,520.77
ORD00001196,CUST000922,2024-11-25,NEW,126.66
ORD00001197,CUST000626,2024-11-24,NEW,115.47
ORD00001198,CUST000157,2024-11-25,COMPLETED,30.68
ORD00001199,CUST000945,2024-11-25,NEW,675.47
ORD00001200,CUST000576,2024-11-25,COMPLETED,513.42
ORD00001201,CUST000434,2024-11-25,COMPLETED,531.65
ORD00001202,CUST000723,2024-11-25,COMPLETED,383.38
ORD00001203,CUST001161,2024-11-24,NEW,569.11
ORD00001204,CUST001014,2024-11-25,COMPLETED,606.21
ORD00001205,CUST000605,2024-11-24,NEW,597.79
ORD00001206,CUST000081,2024-11-26,NEW,326.72
ORD00001207,CUST000318,2024-11-26,COMPLETED,457.7
ORD00001208,CUST001198,2024-11-26,NEW,700.35
ORD00001209,CUST000660,2024-11-26,CANCELLED,37.08
ORD00001210,CUST000453,2024-11-25,COMPLETED,534.17
ORD00001211,CUST001094,2024-11-25,PROCESSING,382.6
ORD00001212,CUST000191,2024-11-26,NEW,640.75
ORD00001213,CUST001054,2024-11-24,COMPLETED,917.8
ORD00001214,CUST000430,2024-11-25,COMPLETED,785.35
ORD00001215,CUST001017,2024-11-24,NEW,612.42
ORD00001216,CUST000419,2024-11-26,PROCESSING,316.4
ORD00001217,CUST000470,2024-11-24,PROCESSING,169.47
ORD00001218,CUST000334,2024-11-25,NEW,668.85
ORD00001219,CUST000586,2024-11-24,NEW,871.98
ORD00001220,CUST000383,2024-11-25,NEW,13.72
ORD00001221,CUST000153,2024-11-26,NEW,106.11
ORD00001222,CUST000429,2024-11-24,PROCESSING,401.91
ORD00001223,CUST000395,2024-11-25,NEW,222.78
ORD00001224,CUST000525,2024-11-25,COMPLETED,651.55
ORD00001225,CUST000529,2024-11-24,NEW,732.46
ORD00001226,CUST001143,2024-11-26,PROCESSING,956.06
ORD00001227,CUST000575,2024-11-25,COMPLETED,216.29
ORD00001228,CUST000783,2024-11-26,PROCESSING,387.35
ORD00001229,CUST000897,2024-11-26,COMPLETED,993.66
ORD00001230,CUST001191,2024-11-25,COMPLETED,384.95
ORD00001231,CUST000925,2024-11-25,NEW,259.47
ORD00001232,CUST000538,2024-11-26,CANCELLED,830.22
ORD00001233,CUST000782,2024-11-25,NEW,523.2
ORD00001234,CUST001047,2024-11-25,COMPLETED,981.24
ORD00001235,CUST001091,2024-11-26,COMPLETED,888.99
ORD00001236,CUST000802,2024-11-24,PROCESSING,413.31
ORD00001237,CUST001046,2024-11-24,NEW,854.84
ORD00001238,CUST000471,2024-11-25,PROCESSING,704.19
ORD00001239,CUST000792,2024-11-26,CANCELLED,505.54
ORD00001240,CUST001010,2024-11-24,NEW,823.41
ORD00001241,CUST000974,2024-11-24,NEW,927.46
ORD00001242,CUST000208,2024-11-24,CANCELLED,722.24
ORD00001243,CUST001006,2024-11-26,NEW,260.36
ORD00001244,CUST000771,2024-11-26,COMPLETED,526.72
ORD00001245,CUST000468,2024-11-25,PROCESSING,626.97
ORD00001246,CUST001190,2024-11-25,CANCELLED,960.38
ORD00001247,CUST000166,2024-11-25,COMPLETED,369.24
ORD00001248,CUST000231,2024-11-26,PROCESSING,345.15
ORD00001249,CUST000213,2024-11-24,PROCESSING,186.8
ORD00001250,CUST000557,2024-11-24,PROCESSING,264.08
ORD00001251,CUST000397,2024-11-25,NEW,383.38
ORD00001252,CUST001106,2024-11-24,CANCELLED,906.62
ORD00001253,CUST000966,2024-11-24,NEW,22.04
ORD00001254,CUST000426,2024-11-24,NEW,229.35
ORD00001255,CUST001100,2024-11-26,PROCESSING,314.03
ORD00001256,CUST000481,2024-11-25,NEW,581.82
ORD00001257,CUST000396,2024-11-24,NEW,202.09
ORD00001258,CUST000850,2024-11-24,CANCELLED,161.27
ORD00001259,CUST000768,2024-11-25,PROCESSING,240.1
ORD00001260,CUST001108,2024-11-26,PROCESSING,107.14
ORD00001261,CUST000536,2024-11-25,PROCESSING,506.67
ORD00001262,CUST000721,2024-11-26,PROCESSING,408.43
ORD00001263,CUST000006,2024-11-24,NEW,189.79
ORD00001264,CUST000693,2024-11-26,NEW,825.84
ORD00001265,CUST001165,2024-11-25,NEW,937.33
ORD00001266,CUST000043,2024-11-24,NEW,488.5
ORD00001267,CUST001193,2024-11-25,PROCESSING,218.18
ORD00001268,CUST001197,2024-11-26,PROCESSING,405.62
ORD00001269,CUST001113,2024-11-26,CANCELLED,980.16
ORD00001270,CUST000573,2024-11-23,NEW,866.84
ORD00001271,CUST000737,2024-11-24,NEW,21.71
ORD00001272,CUST000077,2024-11-24,NEW,332.16
ORD00001273,CUST000795,2024-11-26,PROCESSING,297.39
ORD00001274,CUST000645,2024-11-25,NEW,351.98
ORD00001275,CUST001142,2024-11-26,PROCESSING,59.28
ORD00001276,CUST000115,2024-11-25,NEW,180.15
ORD00001277,CUST000102,2024-11-25,COMPLETED,139.84
ORD00001278,CUST000188,2024-11-24,PROCESSING,274.52
ORD00001279,CUST000826,2024-11-25,NEW,431.01
ORD00001280,CUST000392,2024-11-25,COMPLETED,567.26
ORD00001281,CUST001046,2024-11-24,NEW,439.99
ORD00001282,CUST000888,2024-11-24,PROCESSING,351.9
ORD00001283,CUST000838,2024-11-25,NEW,62.09
ORD00001284,CUST001119,2024-11-25,CANCELLED,935.85
ORD00001285,CUST000712,2024-11-26,CANCELLED,679.52
ORD00001286,CUST001023,2024-11-25,PROCESSING,957.45
ORD00001287,CUST000828,2024-11-25,COMPLETED,761.51
ORD00001288,CUST000067,2024-11-26,COMPLETED,688.0
ORD00001289,CUST001012,2024-11-26,PROCESSING,210.65
ORD00001290,CUST000538,2024-11-26,PROCESSING,933.14
ORD00001291,CUST001149,2024-11-25,PROCESSING,90.51
ORD00001292,CUST000456,2024-11-24,PROCESSING,530.92
ORD00001293,CUST001027,2024-11-26,NEW,539.37
ORD00001294,CUST000721,2024-11-25,NEW,526.04
ORD00001295,CUST000777,2024-11-26,NEW,363.95
ORD00001296,CUST000302,2024-11-26,NEW,596.96
ORD00001297,CUST001072,2024-11-24,CANCELLED,351.67
ORD00001298,CUST000433,2024-11-24,COMPLETED,427.53
ORD00001299,CUST000650,2024-11-25,COMPLETED,249.7
ORD00001300,CUST001071,2024-11-24,NEW,864.12
